Mч,Tч,Si_ч,Mn_ч,C_ч,P_ч,S_ч,Mл,Si_л,Mn_л,C_л,P_л,S_л,М_ф1,М_ф2,М_ф3,М_ф3,М_ф3,М_мш,tд,Vд,Мм,Tм,Si_м,Mn_м,C_м,P_м,S_м,tM,Mш
290,1416,0.5228,0.25,4.7272,0.0608,0.0281,92,0.193467,0.592402,0.18912,0.019087,0.01909,16002,1003,0,4033,0,1.45,17.65,20512,346.47,1697,0.007,0.102,0.05,0.015,0.029,8.1,45.3
295,1415,0.6498,0.2542,4.6649,0.0627,0.0268,117,0.177458,0.575987,0.163511,0.017046,0.017054,14006,3055,0,4012,0,1.475,18.28,21146,373.68,1715,0.007,0.101,0.04,0.014,0.02,8.6,56.2
292,1439,0.5356,0.2552,4.7377,0.0626,0.0276,92,0.174044,0.574061,0.1595,0.016843,0.016848,18067,4364,0,4088,0,1.46,18.85,21165,348.29,1737,0.003,0.053,0.035,0.007,0.021,8.3,46.6
298,1370,0.58,0.29,4.64,0.067,0.028,110,0.128465,0.526909,0.094342,0.012044,0.012044,16308,789,0,4134,0,1.49,18.87,20650,370.06,1640,0.004,0.082,0.041,0.012,0.024,9.2,51
300,1409,0.75,0.3,4.59,0.067,0.025,113,0.187504,0.585597,0.181938,0.018619,0.018619,20332,3895,0,4094,0,1.5,19.12,21331,374.59,1624,0.003,0.071,0.059,0.013,0.031,7.8,62.3
299,1423,0.6057,0.2674,4.88,0.0605,0.02,111,0.180162,0.579432,0.16836,0.017477,0.017483,14360,3169,0,4039,0,1.495,18.35,20490,371.87,1646,0.003,0.075,0.049,0.008,0.026,9,53.5
298,1400,0.5359,0.2981,4.6956,0.0669,0.025,112,0.127886,0.524531,0.093916,0.011989,0.011989,14365,989,0,4061,0,1.49,23.1,20944,371.87,1645,0.004,0.147,0.053,0.02,0.018,8.4,48.9
298,1440,0.4907,0.2527,4.6349,0.0587,0.0189,111,0.188724,0.588351,0.180966,0.018429,0.018434,18329,4556,0,4083,0,1.49,19.47,21331,370.96,1666,0.003,0.065,0.041,0.005,0.017,8.4,48.7
299,1408,0.41,0.29,4.73,0.067,0.031,110,0.18444,0.585314,0.174293,0.017942,0.017947,18344,3173,0,4078,0,1.495,19.08,21241,370.96,1598,0.002,0.059,0.059,0.006,0.036,8.1,44.4
302,1402,0.4693,0.2729,4.7568,0.0642,0.0276,109,0.193344,0.639517,0.178683,0.018265,0.017934,15986,1732,0,4361,0,1.51,19.73,20643,372.78,1651,0.003,0.108,0.057,0.01,0.028,8.6,47
300,1439,0.48,0.25,4.62,0.056,0.018,110,0.191742,0.593191,0.185233,0.018785,0.01879,15978,1447,0,3994,0,1.5,18.8,21137,371.87,1670,0.004,0.123,0.079,0.013,0.023,8.8,47.4
302,1435,0.484,0.246,4.7614,0.0564,0.0192,112,0.227218,1.274429,0.109568,0.012961,0.008242,15993,4118,0,4036,0,1.51,18.77,21733,375.5,1646,0.003,0.089,0.048,0.006,0.01,8.7,49.2
299,1376,0.4625,0.2958,4.7159,0.0645,0.0188,111,0.195126,0.595324,0.191523,0.019297,0.0193,14081,1232,0,4236,0,1.495,19.33,21720,371.87,1662,0.004,0.122,0.063,0.014,0.016,9.1,46.4
