Mч,Tч,Si_ч,Mn_ч,C_ч,P_ч,S_ч,Mл,Si_л,Mn_л,C_л,P_л,S_л,М_ф1,М_ф2,М_ф3,М_ф3,М_ф3,М_мш,tд,Vд,Мм,Tм,Si_м,Mn_м,C_м,P_м,S_м,tM,Mш
311,1435,0.46,0.27,4.7,0.055,0.02,105,0.192807,0.593877,0.187207,0.018946,0.01895,13956,1982,0,4413,1514,1.555,17.73,20150,377.31,1654,0.005,0.114,0.051,0.021,0.029,5.5,46.4
305,1425,0.45,0.25,4.8116,0.055,0.0202,112,0.189064,0.58878,0.181243,0.018439,0.018445,15946,4298,0,4397,1499,1.525,18.6,21109,378.22,1611,0.005,0.084,0.064,0.008,0.022,5.5,47.3
311,1383,0.5198,0.25,4.75,0.0545,0.02,105,0.196965,0.598254,0.194298,0.019537,0.019539,13949,799,0,4398,1483,1.555,18.35,20755,377.31,1619,0.003,0.099,0.069,0.018,0.036,5.1,49.3
310,1398,0.6118,0.2858,4.81,0.0614,0.0168,107,0.192679,0.639355,0.177482,0.018162,0.017826,13934,3837,0,4374,1479,1.55,18.53,20829,378.22,1629,0.004,0.11,0.059,0.016,0.018,5.2,54.7
310,1425,0.43,0.25,4.77,0.056,0.02,105,0.193843,0.640967,0.179462,0.018324,0.01798,13941,985,0,4416,1490,1.55,18.43,20826,376.41,1610,0.003,0.133,0.074,0.017,0.018,5.3,44.7
311,1408,0.4735,0.2762,4.7016,0.0633,0.023,106,0.195366,0.594015,0.192498,0.019365,0.019367,13944,197,0,4420,1493,1.555,35.17,20690,378.22,1658,0.003,0.154,0.096,0.028,0.029,5.2,47
315,1363,0.44,0.25,4.7,0.055,0.02,105,0.184733,0.585743,0.173305,0.01779,0.017799,14052,2429,0,4166,1509,1.575,21.75,23630,380.94,1628,0.006,0.097,0.044,0.01,0.022,4.5,45.6
311,1390,0.5011,0.2636,4.7679,0.0564,0.0193,103,0.192464,0.590789,0.187609,0.018956,0.01896,15886,2989,0,4447,1578,1.555,18.8,21464,375.5,1660,0.003,0.089,0.039,0.01,0.025,4.6,48.6
305,1419,0.53,0.27,4.8,0.057,0.019,109,0.188658,0.588798,0.181313,0.018494,0.018498,14937,5523,0,4413,405,1.525,18.77,21374,375.5,1654,0.004,0.094,0.044,0.01,0.02,5,50.7
311,1390,0.43,0.25,4.94,0.055,0.022,107,0.195028,0.596285,0.192327,0.019439,0.019439,14916,2996,0,4419,1505,1.555,19.08,20534,379.13,1624,0.004,0.134,0.056,0.006,0.013,4.9,45.6
306,1403,0.62,0.34,4.71,0.068,0.017,111,0.192358,0.590777,0.187547,0.018959,0.018963,16006,3979,0,4398,1517,1.53,18.33,21052,378.22,1644,0.003,0.062,0.035,0.006,0.017,5,55.8
305,1428,0.5382,0.26,4.8608,0.0542,0.0174,110,0.177709,0.540818,0.175855,0.017727,0.017727,17979,5019,0,4435,1517,1.525,18.55,20565,376.41,1691,0.003,0.102,0.043,0.011,0.021,4.8,51.6
302,1402,0.73,0.32,4.8,0.065,0.015,115,0.190859,0.591586,0.183972,0.018674,0.01868,16150,5972,0,4346,1476,1.51,18.88,21167,378.22,1659,0.003,0.08,0.052,0.013,0.023,5,61.9
311,1362,0.45,0.2587,4.8609,0.0546,0.0197,106,0.188642,0.588538,0.183189,0.018736,0.018736,13987,5960,0,4398,1527,1.555,19.8,22458,378.22,1627,0.004,0.075,0.051,0.01,0.022,5,46.6
305,1403,0.58,0.29,4.44,0.063,0.02,113,0.22134,1.21846,0.110979,0.013085,0.008731,16052,3007,0,4385,1510,1.525,18.32,20941,379.13,1621,0.003,0.06,0.04,0.008,0.021,5,54.5
306,1416,0.5327,0.2723,4.5465,0.0589,0.0188,112,0.189879,0.590156,0.18493,0.018871,0.018871,16055,3459,0,4398,1506,1.53,18.12,20435,379.13,1631,0.006,0.108,0.052,0.008,0.013,4.7,51.5
306,1430,0.5,0.25,0,0.053,0.017,112,0.192049,0.593101,0.185906,0.018838,0.018842,13942,3626,0,4388,1564,1.53,18.18,20168,379.13,1637,0.004,0.078,0.042,0.01,0.021,4.7,49.6
305,1405,0.6653,0.2638,4.65,0.0606,0.0218,111,0.158067,0.557964,0.13717,0.015239,0.015241,15923,1652,0,4387,1564,1.525,17.7,20015,377.31,1617,0.004,0.068,0.052,0.01,0.017,9.9,57
305,1425,0.5477,0.2789,4.803,0.0595,0.0167,111,0.189006,0.587081,0.183276,0.018669,0.018671,13946,3314,0,4380,1560,1.525,17.78,19871,377.31,1656,0.003,0.1,0.055,0.013,0.025,11,51.6
305,1400,0.57,0.29,4.92,0.064,0.02,111,0.19206,0.593486,0.18579,0.018831,0.018836,13963,3321,0,4384,1557,1.525,18.05,19896,377.31,1662,0.004,0.117,0.061,0.017,0.025,11.5,52.8
300,1438,0.6933,0.2833,4.84,0.0647,0.0158,116,0.176078,0.576233,0.161043,0.016879,0.016887,15944,3311,0,4054,1579,1.5,18.4,20506,377.31,1621,0.004,0.094,0.066,0.014,0.024,9.8,59.3
300,1430,0.4915,0.2562,4.803,0.0555,0.0181,115,0.186226,0.585652,0.179722,0.01847,0.01847,13937,4421,0,4342,1565,1.5,18.22,20363,376.41,1651,0.004,0.09,0.065,0.01,0.025,11.9,49.2
300,1435,0.49,0.25,4.88,0.054,0.02,116,0.116083,0.476121,0.274903,0.012305,0.012779,15967,3848,0,4392,1562,1.5,18.5,21039,377.31,1648,0.008,0.09,0.056,0.012,0.016,9.8,48.2
305,1385,0.5974,0.2856,4.8769,0.0643,0.0218,110,0.179165,0.580936,0.165042,0.017189,0.017197,15951,2198,0,4393,1573,1.525,18.45,20416,376.41,1616,0.003,0.069,0.051,0.008,0.025,10.1,53.9
306,1425,0.5457,0.2737,4.8831,0.0588,0.0186,113,0.192863,0.587103,0.215943,0.018372,0.018378,11963,991,0,4463,1506,1.53,18.57,20612,380.03,1648,0.005,0.138,0.088,0.023,0.025,10.9,51.4
305,1430,0.5287,0.26,4.9384,0.057,0.0189,111,0.188478,0.588212,0.180226,0.018355,0.018361,13950,1981,0,4416,1506,1.525,19.23,21837,377.31,1587,0.003,0.09,0.053,0.014,0.026,9.4,50.4
305,1395,0.59,0.31,4.87,0.065,0.018,111,0.185723,0.583716,0.179321,0.018422,0.018422,13962,1997,0,4404,2012,1.525,18.47,21009,377.31,1639,0.003,0.083,0.049,0.014,0.021,9.7,53.5
311,1410,0.4692,0.2618,4.8543,0.0563,0.017,106,0.192064,0.590462,0.186895,0.018898,0.018901,15957,1998,0,4028,1508,1.555,18.22,20727,378.22,1632,0.004,0.097,0.061,0.012,0.023,10.4,47.3
310,1408,0.5284,0.2671,4.7819,0.0554,0.0165,105,0.200571,0.601714,0.200571,0.020057,0.020057,15931,0,0,3939,1498,1.55,34.08,21760,376.41,1651,0.003,0.071,0.043,0.023,0.026,9.9,49.9
311,1380,0.5,0.26,4.75,0.055,0.019,107,0.169482,0.567995,0.151372,0.016116,0.016124,11965,1003,7494,0,1506,1.555,18.05,20506,379.13,1644,0.003,0.104,0.053,0.015,0.02,9,48.4
306,1400,0.64,0.3144,4.7389,0.0656,0.0163,110,0.199818,0.599455,0.199818,0.019982,0.019982,11962,2971,8929,0,1506,1.53,19.15,21741,377.31,1671,0.005,0.132,0.114,0.019,0.025,10.3,56.7
311,1391,0.519,0.2668,4.7056,0.0585,0.0171,106,0.195131,0.594559,0.191811,0.019315,0.019317,13940,3981,8926,0,1512,1.555,19.75,22001,378.22,1648,0.004,0.065,0.036,0.008,0.022,9.4,50.6
306,1410,0.56,0.3,4.62,0.06,0.019,111,0.192329,0.591905,0.186923,0.01891,0.018914,13939,6687,9016,0,1516,1.53,20.2,22778,378.22,1715,0.003,0.099,0.043,0.009,0.019,9.2,53.6
305,1389,0.4861,0.3067,4.5998,0.062,0.0203,111,0.116468,0.477703,0.265712,0.01227,0.012721,13509,4608,9126,0,1507,1.525,18.27,20994,377.31,1620,0.003,0.071,0.049,0.006,0.011,9.6,48
305,1413,0.4821,0.26,4.6967,0.052,0.0163,108,0.19239,0.593834,0.186353,0.018878,0.018883,12936,3912,8928,0,1509,1.525,18.55,21268,374.59,1660,0.003,0.102,0.051,0.009,0.02,9.1,48.4
305,1432,0.5436,0.26,4.8656,0.052,0.0164,111,0.196662,0.594959,0.19486,0.019559,0.01956,13934,10004,9035,0,1516,1.525,19.33,22230,377.31,1649,0.004,0.129,0.074,0.011,0.019,9,53.3
310,1373,0.52,0.26,4.95,0.053,0.016,106,0.199388,0.599412,0.198935,0.019912,0.019912,15945,4466,0,4377,1517,1.55,19.33,21723,377.31,1648,0.003,0.129,0.051,0.009,0.02,9,50.4
315,1341,0.53,0.33,4.53,0.066,0.016,100,0.118784,0.4872,0.235232,0.012246,0.012616,15923,3749,0,4494,1528,1.575,18.98,21009,376.41,1637,0.003,0.084,0.041,0.012,0.01,8.5,48.8
305,1407,0.69,0.31,4.85,0.055,0.013,112,0.114286,0.46875,0.292857,0.012281,0.012804,14131,4960,0,4509,1596,1.525,19.12,21254,378.22,1653,0.003,0.059,0.039,0.008,0.013,9.3,57.9
312,1360,0.5591,0.3157,4.6082,0.0628,0.0206,105,0.13083,0.528652,0.095881,0.012032,0.012036,14899,2993,0,4534,1509,1.56,19.02,21189,378.22,1651,0.004,0.078,0.043,0.01,0.016,8.7,50.8
306,1400,0.6094,0.3424,4.6982,0.0649,0.0148,110,0.194708,0.595665,0.190526,0.019221,0.019224,14673,3945,0,4385,1522,1.53,19.83,21896,377.31,1628,0.003,0.093,0.057,0.011,0.02,9.5,54.9
300,1423,0.5333,0.2553,4.7487,0.0525,0.0184,72,0.127822,0.524271,0.093869,0.011983,0.011983,20652,2807,0,4394,1505,1.5,18.6,20164,337.4,1674,0.003,0.15,0.084,0.013,0.012,8.3,43.4
304,1412,0.66,0.29,4.64,0.058,0.016,71,0.128541,0.527218,0.094397,0.012051,0.012051,20712,6306,0,4380,1488,1.52,18.87,20181,340.13,1733,0.004,0.128,0.042,0.014,0.009,7.9,50.5
306,1380,0.6628,0.3047,4.6669,0.0594,0.0164,113,0.194681,0.593814,0.191142,0.019257,0.019259,14715,3834,0,4388,1495,1.53,19.75,21867,380.03,1660,0.004,0.167,0.055,0.011,0.013,9.6,58.2
305,1362,0.6802,0.283,4.503,0.056,0.0155,108,0.191574,0.593428,0.184796,0.018752,0.018757,14729,581,0,4380,1509,1.525,35.62,21363,374.59,1646,0.003,0.095,0.062,0.016,0.027,9.5,57.4
306,1389,0.6261,0.3086,4.7087,0.0604,0.0176,111,0.163168,0.56173,0.143341,0.015589,0.015595,16743,3771,0,4359,1504,1.53,19.63,22095,378.22,1594,0.003,0.086,0.059,0.006,0.017,8,55.7
311,1344,0.556,0.2735,4.512,0.0572,0.0176,107,0.19274,0.590607,0.189753,0.019204,0.019204,16696,4752,0,4368,2055,1.555,18.35,20847,379.13,1617,0.005,0.101,0.072,0.013,0.028,9.2,52.6
306,1408,0.65,0.28,4.73,0.054,0.017,111,0.187018,0.586878,0.179586,0.018396,0.018399,14020,996,0,4405,1492,1.53,18.53,20592,378.22,1697,0.004,0.097,0.049,0.014,0.028,9,56.5
310,1420,0.6132,0.2581,4.6997,0.0521,0.0152,106,0.189217,0.589075,0.182019,0.018532,0.018537,13977,3003,0,4393,1500,1.55,17.72,19854,377.31,1688,0.004,0.13,0.093,0.018,0.024,9.6,54.4
311,1390,0.52,0.3,4.58,0.06,0.018,106,0.189972,0.588455,0.183255,0.018596,0.018601,13973,2979,0,4428,1511,1.555,18.52,20970,378.22,1624,0.004,0.081,0.055,0.013,0.024,9.3,49.8
306,1410,0.6942,0.2756,4.7491,0.0551,0.0128,112,0.127543,0.523125,0.093664,0.011957,0.011957,13961,2991,0,4394,1505,1.53,18.03,20328,379.13,1632,0.004,0.178,0.095,0.016,0.014,9.4,58.1
305,1405,0.57,0.25,4.81,0.05,0.014,112,0.194117,0.592899,0.190296,0.019183,0.019186,13961,1000,2417,4390,0,1.525,36.78,21101,378.22,1653,0.004,0.059,0.043,0.029,0.028,9.2,52.8
290,1388,0.5576,0.2441,4.8279,0.0493,0.0132,91,0.20753,1.065569,0.115715,0.013335,0.010005,17942,1975,3009,4536,0,1.45,18.33,20787,345.57,1663,0.004,0.098,0.06,0.01,0.02,6.7,48
290,1421,0.5959,0.2562,4.74,0.0509,0.0156,92,0.199348,0.598043,0.199348,0.019935,0.019935,17956,4740,3130,4503,0,1.45,17.55,19836,346.47,1658,0.004,0.087,0.051,0.007,0.02,9,50.3
306,1398,0.57,0.24,4.89,0.046,0.012,110,0.180476,0.579197,0.169556,0.017594,0.017598,13952,2955,3014,4520,0,1.53,18.87,21089,377.31,1684,0.003,0.062,0.034,0.008,0.018,7.5,52.7
305,1392,0.6703,0.2936,4.8744,0.0584,0.0187,112,0.200536,0.601607,0.200536,0.020054,0.020054,13963,2745,3010,4515,0,1.525,18.98,21022,378.22,1663,0.004,0.074,0.048,0.011,0.028,8.7,58.3
290,1433,0.48,0.25,4.75,0.052,0.02,91,0.20022,0.600659,0.20022,0.020022,0.020022,19964,3268,2986,4489,0,1.45,18.6,20615,345.57,1678,0.004,0.083,0.053,0.008,0.023,7.5,44.6
305,1416,0.4572,0.2316,4.8569,0.0519,0.0278,110,0.192902,0.593318,0.189378,0.019207,0.019207,13936,3347,2988,4531,0,1.525,18.22,20806,376.41,1668,0.004,0.128,0.053,0.007,0.006,8.3,47.2
305,1390,0.65,0.25,4.71,0.051,0.014,111,0.195337,0.593378,0.19356,0.019492,0.019492,13997,4833,2992,4489,0,1.525,18.47,20794,377.31,1654,0.003,0.106,0.047,0.008,0.013,8.1,57.3
311,1381,0.5226,0.2847,4.726,0.0584,0.0187,105,0.127756,0.524,0.093821,0.011977,0.011977,13998,7653,3013,4558,0,1.555,19.33,21774,377.31,1651,0.005,0.077,0.038,0.008,0.01,6.3,49.6
291,1389,0.46,0.28,4.86,0.062,0.022,93,0.175256,0.573919,0.160768,0.016873,0.01688,20654,3384,3077,4502,0,1.455,18.23,20109,348.29,1615,0.003,0.101,0.061,0.005,0.027,7.3,43.9
308,1377,0.5178,0.2738,4.7436,0.0629,0.0181,105,0.196053,0.596991,0.192853,0.019414,0.019416,22668,3026,3047,4505,0,1.54,18.83,21145,374.59,1648,0.004,0.107,0.046,0.012,0.023,7.6,50.9
310,1414,0.4,0.25,4.76,0.058,0.023,107,0.193555,0.592921,0.1906,0.019286,0.019286,14686,4197,3051,4513,0,1.55,19.87,21600,378.22,1627,0.004,0.09,0.057,0.013,0.025,8,44.4
310,1400,0.35,0.2284,4.7845,0.0528,0.0253,105,0.194903,0.593571,0.192766,0.01944,0.01944,22741,5101,3073,4486,0,1.55,20.58,22839,376.41,1602,0.002,0.088,0.07,0.005,0.027,7.6,42.8
300,1389,0.45,0.25,4.75,0.05,0.022,80,0.168882,0.568599,0.1509,0.016136,0.016142,22789,5033,3045,4505,0,1.5,19.58,21725,344.66,1650,0.003,0.078,0.065,0.004,0.021,6.8,42.2
309,1403,0.3659,0.2332,4.7668,0.0525,0.0245,105,0.188899,0.589929,0.183297,0.018758,0.018758,16625,4797,3048,4489,0,1.545,21.1,22631,375.5,1615,0.003,0.087,0.051,0.01,0.027,7.8,42.5
307,1370,0.4538,0.25,4.7043,0.0511,0.0212,105,0.128122,0.5255,0.09409,0.012011,0.012011,16692,5647,3059,4493,0,1.535,19.98,21887,373.68,1590,0.003,0.049,0.043,0.003,0.013,6.8,45.9
311,1384,0.57,0.27,4.61,0.064,0.026,106,0.190357,0.5897,0.184414,0.018739,0.018742,24760,4778,3057,4524,0,1.555,19.75,22242,378.22,1643,0.003,0.097,0.041,0.005,0.016,7.5,54.5
315,1380,0.5544,0.2656,4.6333,0.0628,0.0257,101,0.195238,0.596644,0.191277,0.019287,0.01929,16716,4923,3061,4522,0,1.575,19.65,21995,377.31,1643,0.003,0.084,0.053,0.009,0.027,7.9,52
320,1418,0.29,0.22,5.04,0.053,0.031,101,0.193829,0.595696,0.18868,0.019075,0.019079,20724,7011,3059,4487,0,1.6,19.55,22207,381.85,1652,0.003,0.094,0.055,0.005,0.028,7.9,39.5
315,1406,0.3789,0.2264,4.9003,0.053,0.0259,101,0.180022,0.578079,0.169531,0.017612,0.017615,20103,2752,3056,4499,0,1.575,20.02,22650,377.31,1641,0.002,0.1,0.069,0.004,0.029,7.3,42.9
310,1400,0.4,0.23,4.96,0.056,0.027,101,0.193675,0.59272,0.189437,0.019114,0.019117,16081,2772,3055,4482,0,1.55,18.27,20498,372.78,1693,0.003,0.116,0.057,0.009,0.022,7.3,43.2
310,1370,0.41,0.25,4.76,0.064,0.027,106,0.189828,0.590627,0.182168,0.018525,0.018531,14067,1081,3053,4514,0,1.55,18.73,20919,377.31,1601,0.003,0.058,0.047,0.005,0.03,6.9,44
315,1378,0.5529,0.2421,4.76,0.0561,0.0175,99,0.189933,0.591992,0.181893,0.018513,0.018519,14075,4294,3052,4532,0,1.575,18.07,20232,375.5,1614,0.003,0.069,0.057,0.006,0.023,7,51
300,1400,0.446,0.2453,4.862,0.0541,0.0235,83,0.170752,0.568247,0.154027,0.016333,0.01634,24112,4748,3064,4559,0,1.5,18.67,21135,347.38,1673,0.004,0.086,0.07,0.005,0.02,6.3,42.7
300,1390,0.42,0.28,4.94,0.061,0.02,80,0.12641,0.401438,0.121055,0.012515,0.012515,21092,3644,3053,4574,0,1.5,18.87,20721,344.66,1636,0.004,0.084,0.05,0.005,0.018,5.8,39.7
308,1392,0.4327,0.28,4.8732,0.0623,0.02,104,0.194221,0.593279,0.190375,0.019192,0.019195,12060,2790,2998,4571,0,1.54,18.65,21218,373.68,1628,0.004,0.091,0.059,0.007,0.021,5.6,44.7
302,1382,0.46,0.28,4.73,0.065,0.02,81,0.195499,0.594674,0.192536,0.019373,0.019375,22143,6574,2986,4462,0,1.51,19.08,21600,347.38,1684,0.003,0.091,0.053,0.007,0.018,6,43.5
302,1420,0.37,0.24,5,0.052,0.023,82,0.185829,0.586981,0.176351,0.018104,0.018109,21079,3799,3002,2278,0,1.51,18.67,20621,348.29,1676,0.003,0.077,0.045,0.006,0.02,6,38.2
300,1369,0.43,0.294,4.716,0.0638,0.0155,84,0.171457,0.570268,0.157979,0.016829,0.016829,22116,4565,3007,4570,0,1.5,19.02,21121,348.29,1635,0.003,0.084,0.047,0.005,0.02,5.2,41.8
316,1360,0.4127,0.2257,4.9673,0.053,0.0257,101,0.194978,0.595545,0.19242,0.019438,0.019438,14059,4171,2982,4560,0,1.58,19.2,21656,378.22,1679,0.003,0.084,0.044,0.009,0.022,4.8,44.2
310,1385,0.48,0.24,4.66,0.053,0.018,107,0.194696,0.596056,0.190359,0.01921,0.019214,12041,5682,3069,4532,0,1.55,19.02,21477,378.22,1644,0.003,0.075,0.05,0.01,0.027,6.2,48.3
290,1401,0.4055,0.2403,4.78,0.0541,0.022,90,0.176225,0.575907,0.162814,0.017088,0.017093,22124,2980,2063,4493,0,1.45,18.55,20697,344.66,1627,0.003,0.067,0.044,0.006,0.019,5.3,40.7
291,1407,0.3839,0.2606,4.78,0.0567,0.0199,91,0.191558,0.591901,0.185316,0.018783,0.018788,19956,4945,3064,4465,0,1.455,18.63,20694,346.47,1648,0.004,0.069,0.037,0.008,0.019,5.5,40.2
310,1370,0.43,0.23,4.82,0.055,0.024,105,0.190303,0.592252,0.182569,0.018568,0.018574,14931,3655,3059,4534,0,1.55,18.57,20896,376.41,1632,0.003,0.063,0.044,0.007,0.024,6.2,45.4
309,1409,0.5383,0.2883,4.7405,0.0608,0.0158,107,0.115559,0.473972,0.271779,0.012236,0.012703,14930,5946,3052,4545,0,1.545,19.57,20932,377.31,1658,0.004,0.063,0.03,0.009,0.017,5.9,50.3
291,1370,0.4847,0.2938,4.5803,0.0667,0.0199,91,0.197681,0.597776,0.195967,0.019666,0.019667,21962,3191,3059,4508,0,1.455,42.48,21923,346.47,1657,0.004,0.068,0.034,0.006,0.018,5.2,45.2
304,1424,0.63,0.24,4.49,0.056,0.014,112,0.191209,0.591566,0.184709,0.018733,0.018737,15935,3468,3044,4547,0,1.52,18.33,20496,377.31,1647,0.004,0.065,0.045,0.009,0.033,6.3,56.4
292,1394,0.5337,0.2504,4.788,0.0535,0.0199,91,0.162523,0.562253,0.144514,0.015829,0.015829,19956,3921,3069,4544,0,1.46,17.7,19505,347.38,1608,0.004,0.093,0.061,0.005,0.019,5.6,46.9
300,1419,0.62,0.26,4.74,0.054,0.017,106,0.195651,0.597368,0.191877,0.01934,0.019342,13907,5401,3055,4536,0,1.5,18.7,21080,368.24,1665,0.002,0.074,0.056,0.007,0.023,4.5,54.5
291,1438,0.63,0.24,4.7,0.053,0.017,91,0.180022,0.580599,0.167308,0.017385,0.017391,19925,4928,3064,4542,0,1.455,18.48,20696,346.47,1661,0.003,0.084,0.057,0.007,0.023,6,51.9
310,1396,0.58,0.31,4.5,0.065,0.016,106,0.231321,0.566415,0.62566,0.023887,0.019925,15913,9067,3094,4527,0,1.55,20.68,23335,377.31,1679,0.004,0.092,0.049,0.011,0.023,6.3,55
290,1389,0.5335,0.2931,4.5945,0.0621,0.0172,90,0.187756,0.5878,0.178867,0.018244,0.018251,18323,5050,3046,4554,0,1.45,18.42,19775,344.66,1661,0.004,0.106,0.055,0.01,0.027,5.8,46.9
310,1376,0,0,0,0,0,105,0.19304,0.592157,0.188316,0.019022,0.019025,14049,2202,3054,4544,0,1.55,18.77,20999,376.41,1668,0.003,0.121,0.061,0.015,0.024,6.7,23.2
305,1401,0.3907,0.2302,4.7395,0.0535,0.024,111,0.191003,0.592104,0.184084,0.018687,0.018692,14058,3843,3050,4543,0,1.525,18.03,20281,377.31,1631,0.003,0.106,0.068,0.01,0.029,6.5,44.1
306,1430,0.3924,0.2341,4.6641,0.0523,0.0225,112,0.189013,0.590289,0.181353,0.018499,0.018503,14065,3288,3042,4573,0,1.53,17.97,20176,379.13,1617,0.003,0.097,0.07,0.008,0.027,6.4,44.3
304,1400,0.69,0.34,4.68,0.064,0.012,109,0.192277,0.59334,0.186295,0.01887,0.018875,16080,3291,3057,4558,0,1.52,18.47,20736,374.59,1655,0.005,0.116,0.077,0.015,0.026,6.8,58.9
290,1410,0.6947,0.3028,4.6847,0.0589,0.0125,89,0.188292,0.589685,0.179303,0.018292,0.018299,22091,5846,3033,4558,0,1.45,22.67,22191,343.75,1676,0.003,0.082,0.067,0.006,0.022,5.2,55.1
290,1390,0.5648,0.2853,4.5971,0.0615,0.0181,93,0.165181,0.563885,0.144443,0.015569,0.015579,20083,5488,3042,4546,0,1.45,21.85,20735,347.38,1649,0.002,0.067,0.045,0.005,0.021,5.1,48.9
291,1440,0.48,0.24,4.58,0.053,0.019,91,0.179121,0.576099,0.16978,0.017692,0.017692,20100,6492,3050,4538,0,1.455,19.68,21026,346.47,1699,0.003,0.077,0.054,0.005,0.019,5.4,44.9
304,1437,0.46,0.24,4.63,0.052,0.021,113,0.192593,0.637894,0.17746,0.018168,0.01785,14087,2752,3057,4561,0,1.52,18.6,20994,378.22,1618,0.003,0.079,0.052,0.007,0.014,6.2,47.7
290,1380,0.474,0.2774,4.5855,0.0588,0.0189,92,0.196924,0.597493,0.19449,0.019547,0.019549,22118,5419,3043,4555,0,1.45,25.52,22337,346.47,1660,0.003,0.086,0.052,0.006,0.021,5.1,45.2
291,1381,0.46,0.31,4.66,0.063,0.017,90,0.190905,0.591728,0.184016,0.018679,0.018684,20134,4934,3062,4580,0,1.455,18.87,21348,345.57,1679,0.003,0.069,0.045,0.004,0.025,5.2,43.7
305,1410,0.4603,0.2375,4.79,0.0513,0.0182,106,0.197315,0.598194,0.195051,0.019596,0.019598,15984,1984,3012,4534,0,1.525,19.22,21719,372.78,1639,0.003,0.09,0.075,0.007,0.022,5.9,46.8
290,1405,0.49,0.24,4.71,0.053,0.02,91,0.168132,0.504396,0.168132,0.016813,0.016813,20023,7955,3051,4530,0,1.45,18.7,21239,345.57,1650,0.004,0.062,0.037,0.004,0.017,5,45.4
306,1432,0.47,0.24,4.73,0.054,0.021,112,0.189243,0.589316,0.181422,0.018457,0.018463,13993,2551,2995,4517,0,1.53,19.73,22437,379.13,1638,0.003,0.107,0.058,0.008,0.02,5.5,48.1
306,1425,0.5517,0.2872,4.5921,0.0587,0.0173,111,0.182865,0.581189,0.172595,0.017784,0.017789,14017,3955,2997,4539,0,1.53,19.17,21930,378.22,1626,0.005,0.097,0.059,0.014,0.017,5.5,52.1
306,1428,0.5233,0.27,4.7,0.0579,0.0194,111,0.190257,0.591756,0.182653,0.018571,0.018577,16000,2983,3006,4494,0,1.53,19.13,21743,378.22,1615,0.004,0.165,0.052,0.008,0.018,5.5,51
306,1415,0.4896,0.2531,4.5665,0.0556,0.02,110,0.217924,1.167023,0.114462,0.01329,0.009285,14012,3957,2987,4512,0,1.53,18.57,21203,377.31,1646,0.003,0.099,0.046,0.008,0.017,5.6,49.4
305,1420,0.4892,0.24,4.5685,0.0538,0.0202,111,0.186099,0.588135,0.175288,0.017964,0.017972,14022,1975,2975,4529,0,1.525,18.57,21087,377.31,1604,0.004,0.105,0.1,0.012,0.018,5.7,48.7
310,1410,0.56,0.2787,4.5161,0.0575,0.017,105,0.185114,0.586886,0.173686,0.017829,0.017837,14001,2570,2276,4528,0,1.55,18.27,20747,376.41,1650,0.003,0.156,0.071,0.015,0.016,5.7,51.5
311,1407,0.5506,0.2906,4.6759,0.0591,0.0179,106,0.189961,0.589984,0.182678,0.018561,0.018566,16015,2447,3049,4520,0,1.555,19.58,22165,378.22,1620,0.003,0.082,0.066,0.006,0.017,5.1,51.8
310,1390,0.44,0.24,4.48,0.052,0.021,107,0.189888,0.590299,0.182411,0.018542,0.018548,14622,4154,3058,4538,0,1.55,19.17,21382,378.22,1644,0.003,0.089,0.046,0.01,0.016,5.7,46.3
306,1398,0.6208,0.3039,4.5769,0.0587,0.0148,110,0.190164,0.590564,0.182891,0.018582,0.018587,19957,3656,3063,4565,0,1.53,19.82,21454,377.31,1638,0.004,0.079,0.051,0.015,0.036,5.6,56.4
310,1434,0.43,0.24,4.63,0.053,0.022,106,0.177585,0.576651,0.167,0.017509,0.017509,14634,5259,3096,4558,0,1.55,18.87,21257,377.31,1626,0.004,0.077,0.046,0.008,0.021,5.5,45.6
308,1414,0.43,0.24,4.6335,0.053,0.0217,106,0.183219,0.582991,0.172657,0.0178,0.017806,14939,2022,3058,4539,0,1.54,38.25,22684,375.5,1648,0.004,0.063,0.043,0.008,0.021,10.2,45.1
305,1406,0.5882,0.2913,4.6766,0.0581,0.0153,111,0.192742,0.594141,0.186977,0.01893,0.018934,19937,4740,3066,4536,0,1.525,20.15,22800,377.31,1658,0.003,0.095,0.049,0.009,0.021,6.2,55.1
310,1429,0.39,0.24,4.71,0.053,0.027,105,0.133752,0.492571,0.30221,0.014286,0.014762,14951,2590,3051,4530,0,1.55,18.43,20583,376.41,1631,0.007,0.094,0.056,0.009,0.021,4.3,42.2
302,1412,0.3525,0.2293,4.7261,0.0514,0.0286,80,0.187475,0.590025,0.177475,0.01815,0.018158,19945,5046,3050,4528,0,1.51,19.02,21095,346.47,1667,0.003,0.073,0.041,0.005,0.013,4.2,37.3
310,1383,0.5,0.29,4.5,0.057,0.015,105,0.180629,0.581043,0.168638,0.017505,0.01751,19970,4985,3051,4547,0,1.55,24.62,23064,376.41,1570,0.004,0.058,0.108,0.003,0.012,4.8,49.8
300,1378,0.425,0.245,4.6,0.0553,0.0223,80,0.15904,0.555375,0.14017,0.01546,0.01546,19970,4361,3086,4532,0,1.5,19.35,21910,344.66,1650,0.003,0.07,0.055,0.004,0.017,4.6,40.3
